Associated Gene Name	% GC content	Gene type	Chromosome Name	Gene Start (bp)	Gene End (bp)	Length
AB019440.50	46.22	lincRNA	14	106206603	106208571	1968
AB019441.29	53.27	processed_pseudogene	14	105978520	105979146	626
ABAT	47.35	protein_coding	16	8674565	8784575	110010
ABBA01010927.1	67.83	miRNA	14	16053818	16053932	114
ABBA01010927.2	39.73	miRNA	14	16031911	16031983	72
ABBA01014710.1	27.34	miRNA	20	28577338	28577476	138
ABBA01015879.1	27.94	miRNA	20	29106001	29106136	135
ABBA01017803.1	42.52	pseudogene	16	34266044	34268649	2605
ABBA01031658.1	70.43	miRNA	20	29300928	29301042	114
ABBA01031663.1	40.00	miRNA	20	29450327	29450406	79
ABBA01031664.1	37.46	protein_coding	20	29454680	29497243	42563
ABBA01031674.1	42.50	miRNA	20	29880384	29880463	79
ABBA01037345.1	68.70	miRNA	KI270442.1	221098	221212	114
ABBA01037346.1	39.73	miRNA	KI270442.1	241502	241574	72
ABBA01037349.1	42.50	miRNA	KI270442.1	386824	386903	79
ABC12-47043100G14.2	34.17	unprocessed_pseudogene	8	12290071	12296180	6109
ABC12-47964100C23.1	52.29	unprocessed_pseudogene	9	40481559	40497591	16032
ABC12-49244600F4.4	49.67	lincRNA	12	7115736	7116486	750
ABC13-48559800H2.1	55.85	unprocessed_pseudogene	CHR_HSCHR1_2_CTG31	155225758	155229107	3349
ABC13-48559800H2.2	53.63	unprocessed_pseudogene	CHR_HSCHR1_2_CTG31	155211179	155213671	2492
ABC14-1080714F14.1	35.85	unprocessed_pseudogene	9	65646982	65652679	5697
ABC7-42391500H16.2	49.57	processed_pseudogene	4	190195727	190196190	463
ABC7-42418200C9.1	37.81	transcribed_unprocessed_pseudogene	13	18408806	18431605	22799
ABC7-43041300I9.1	49.78	processed_pseudogene	2	242175181	242175634	453
ABC7-481722F1.1	48.65	processed_pseudogene	7	37032	37477	445
ABC9-43961700F1.1	62.15	unprocessed_pseudogene	CHR_HSCHR17_5_CTG4	41238001	41238465	464
ABCA1	43.42	protein_coding	9	104781002	104928237	147235
ABCA10	36.13	protein_coding	17	69147214	69244846	97632
ABCA11P	39.69	transcribed_processed_pseudogene	4	425435	474129	48694
ABCA12	37.18	protein_coding	2	214931542	215138428	206886
ABCA13	38.84	protein_coding	7	48171458	48647496	476038
ABCA17P	43.85	unitary_pseudogene	16	2339150	2426699	87549
ABCA2	66.66	protein_coding	9	137007227	137028922	21695
ABCA3	53.03	protein_coding	16	2275881	2340746	64865
ABCA4	46.44	protein_coding	1	93992835	94121132	128297
ABCA5	34.61	protein_coding	17	69244311	69327244	82933
ABCA6	36.30	protein_coding	17	69078702	69141888	63186
ABCA7	60.49	protein_coding	19	1040101	1065572	25471
ABCA8	36.81	protein_coding	17	68867292	68955392	88100
ABCA9	37.68	protein_coding	17	68974488	69061064	86576
ABCA9-AS1	37.46	antisense	17	69004714	69018323	13609
ABCB1	37.04	protein_coding	7	87503633	87713323	209690
ABCB10	43.62	protein_coding	1	229516582	229558695	42113
ABCB10P1	56.30	processed_pseudogene	15	23179869	23182049	2180
ABCB10P3	56.19	processed_pseudogene	15	28402868	28405033	2165
ABCB10P4	56.21	processed_pseudogene	CHR_HSCHR15_1_CTG8	28518244	28520426	2182
ABCB11	39.40	protein_coding	CHR_HSCHR2_1_CTG7_2	168939927	168953422	13495
ABCB4	38.60	protein_coding	7	87401697	87480435	78738
ABCB5	37.73	protein_coding	7	20615207	20777038	161831
ABCB6	54.46	protein_coding	2	219209768	219218990	9222
ABCB7	35.98	protein_coding	X	75053172	75156732	103560
ABCB8	57.04	protein_coding	7	151028422	151047782	19360
ABCB9	52.47	protein_coding	12	122920951	122981649	60698
ABCC1	48.47	protein_coding	CHR_HSCHR16_1_CTG1	16034690	16228109	193419
ABCC10	52.94	protein_coding	6	43427366	43450430	23064
ABCC11	45.62	protein_coding	16	48166910	48247568	80658
ABCC12	47.16	protein_coding	16	48082973	48156018	73045
ABCC13	36.49	transcribed_unprocessed_pseudogene	21	14236206	14362754	126548
ABCC2	45.12	protein_coding	10	99782732	99852192	69460
ABCC3	51.95	protein_coding	17	50634777	50692252	57475
ABCC4	42.33	protein_coding	13	95019829	95301433	281604
ABCC5	44.70	protein_coding	3	183919934	184018015	98081
ABCC5-AS1	42.17	antisense	3	184006338	184011419	5081
ABCC6	49.86	protein_coding	16	16148928	16223522	74594
ABCC6P1	47.92	transcribed_unprocessed_pseudogene	16	18571162	18598328	27166
ABCC6P2	49.25	transcribed_unprocessed_pseudogene	16	14820792	14824702	3910
ABCC8	50.00	protein_coding	11	17392885	17476845	83960
ABCC9	35.98	protein_coding	12	21797401	21941402	144001
ABCD1	58.36	protein_coding	X	153724868	153744762	19894
ABCD1P2	61.28	unprocessed_pseudogene	10	38601418	38605609	4191
ABCD1P3	60.81	unprocessed_pseudogene	16	32475051	32478250	3199
ABCD1P4	61.11	unprocessed_pseudogene	22	16387694	16390887	3193
ABCD1P5	60.81	unprocessed_pseudogene	2	91840601	91843802	3201
ABCD2	34.95	protein_coding	12	39550033	39619751	69718
ABCD3	37.04	protein_coding	1	94418455	94518666	100211
ABCD4	51.47	protein_coding	14	74285423	74303056	17633
ABCE1	35.08	protein_coding	4	145097932	145129179	31247
ABCF1	47.96	protein_coding	CHR_HSCHR6_MHC_MCF_CTG1	30649829	30675633	25804
ABCF2	49.19	protein_coding	7	151207837	151227230	19393
ABCF2P1	49.76	processed_pseudogene	3	88317156	88319022	1866
ABCF2P2	49.27	unprocessed_pseudogene	7	72103181	72104209	1028
ABCF3	51.95	protein_coding	3	184186023	184194012	7989
ABCG1	51.02	protein_coding	21	42199689	42297244	97555
ABCG2	41.40	protein_coding	4	88090264	88231322	141058
ABCG4	54.49	protein_coding	11	119149012	119162653	13641
ABCG5	45.18	protein_coding	2	43812472	43838865	26393
ABCG8	45.73	protein_coding	2	43838964	43878466	39502
ABHD1	50.81	protein_coding	2	27123789	27130812	7023
ABHD10	35.84	protein_coding	3	111979010	111993363	14353
ABHD11	59.95	protein_coding	7	73736094	73738867	2773
ABHD11-AS1	62.54	antisense	7	73735038	73736054	1016
ABHD12	47.42	protein_coding	20	25294743	25390983	96240
ABHD12B	42.81	protein_coding	14	50872160	50904970	32810
ABHD13	35.43	protein_coding	13	108218379	108234255	15876
ABHD14A	54.78	protein_coding	3	51971426	51981199	9773
ABHD14A-ACY1	55.59	protein_coding	3	51975050	51989183	14133
ABHD14B	55.05	protein_coding	3	51968510	51983409	14899
ABHD15	53.06	protein_coding	17	29560547	29567137	6590
ABHD15-AS1	48.97	antisense	17	29560547	29707090	146543
ABHD16A	50.36	protein_coding	CHR_HSCHR6_MHC_MANN_CTG1	31726403	31742871	16468
ABHD16B	66.67	protein_coding	20	63861213	63863306	2093
ABHD17A	65.16	protein_coding	19	1876810	1885547	8737
ABHD17AP1	67.31	unprocessed_pseudogene	1	148146395	148149566	3171
ABHD17AP3	66.83	unprocessed_pseudogene	1	214605470	214608840	3370
ABHD17AP4	67.29	processed_pseudogene	22	20667836	20670984	3148
ABHD17AP6	42.75	unprocessed_pseudogene	17	20814620	20844257	29637
ABHD17AP9	66.89	unprocessed_pseudogene	16	33140850	33143797	2947
ABHD17B	37.98	protein_coding	9	71862452	71910931	48479
ABHD17C	42.95	protein_coding	15	80679684	80755621	75937
ABHD2	44.01	protein_coding	15	89087459	89202360	114901
ABHD3	42.45	protein_coding	18	21650897	21704805	53908
ABHD4	48.25	protein_coding	14	22598237	22613215	14978
ABHD5	40.26	protein_coding	3	43690113	43734371	44258
ABHD6	45.11	protein_coding	3	58237506	58295693	58187
ABHD8	54.90	protein_coding	19	17292131	17310236	18105
ABI1	38.44	protein_coding	10	26746593	26861087	114494
ABI2	39.51	protein_coding	2	203328219	203447723	119504
ABI3	54.13	protein_coding	17	49210227	49223225	12998
ABI3BP	37.02	protein_coding	3	100749156	100993515	244359
ABL1	44.47	protein_coding	9	130713946	130887675	173729
ABL2	41.31	protein_coding	1	179099327	179229684	130357
ABLIM1	42.59	protein_coding	10	114431113	114685003	253890
ABLIM2	54.00	protein_coding	4	7965310	8158832	193522
ABLIM3	44.42	protein_coding	5	149141483	149260542	119059
ABO	48.77	protein_coding	9	133250401	133275214	24813
ABR	56.54	protein_coding	CHR_HSCHR17_3_CTG2	1003518	1109870	106352
ABRA	40.25	protein_coding	8	106759483	106770245	10762
ABRACL	44.20	protein_coding	6	139028682	139043302	14620
ABT1	47.69	protein_coding	6	26596952	26600744	3792
ABT1P1	56.27	processed_pseudogene	4	99022311	99023131	820
ABTB1	60.38	protein_coding	3	127672935	127680920	7985
ABTB2	47.92	protein_coding	11	34150988	34358008	207020
AC000003.1	36.52	miRNA	17	10070890	10071004	114
AC000029.1	29.67	miRNA	22	23136620	23136710	90
AC000032.2	57.35	antisense	1	109693117	109693742	625
AC000036.4	45.79	antisense	22	50735825	50738139	2314
AC000041.10	57.62	unprocessed_pseudogene	22	29437583	29437733	150
AC000041.8	49.37	unprocessed_pseudogene	22	29419155	29423193	4038
AC000067.1	56.29	lincRNA	22	19667023	19667555	532
AC000068.10	52.83	antisense	22	19456503	19456962	459
AC000068.5	49.84	antisense	22	19447893	19450105	2212
AC000068.9	48.95	antisense	22	19454179	19454605	426
AC000077.2	51.19	processed_pseudogene	22	19630750	19633574	2824
AC000078.5	57.62	processed_pseudogene	22	19887289	19887970	681
AC000081.2	48.82	processed_pseudogene	22	19238443	19238739	296
AC000089.3	52.06	processed_pseudogene	22	19792294	19793094	800
AC000095.9	59.27	processed_pseudogene	22	19018043	19018916	873
AC000099.1	41.51	antisense	7	127215127	127229921	14794
AC000111.3	36.13	antisense	7	117560733	117564676	3943
AC000111.4	38.86	processed_pseudogene	7	117487737	117487929	192
AC000111.5	41.43	processed_pseudogene	7	117586207	117586416	209
AC000111.6	35.82	antisense	7	117604791	117647415	42624
AC000120.7	38.79	sense_overlapping	7	92200014	92206857	6843
AC000123.2	37.71	TEC	7	127359785	127364759	4974
AC000123.3	39.48	TEC	7	127349833	127350293	460
AC000123.4	39.61	antisense	7	127350128	127351523	1395
AC000124.1	37.47	lincRNA	7	127476883	127485804	8921
AC000362.1	44.09	processed_pseudogene	7	126980967	126981778	811
AC000367.1	37.71	processed_pseudogene	7	126868767	126870532	1765
AC000370.2	35.03	antisense	7	126378970	126424185	45215
AC000374.1	40.46	processed_pseudogene	7	126511135	126512879	1744
AC000403.1	77.50	miRNA	13	76886321	76886400	79
AC000403.4	40.56	lincRNA	13	76887551	76891135	3584
AC001226.7	43.78	lincRNA	13	77027944	77028482	538
AC001228.1	67.61	protein_coding	CHR_HSCHR11_1_CTG7	2883210	2885796	2586
AC001228.2	58.96	protein_coding	CHR_HSCHR11_1_CTG7	2888122	2903974	15852
AC001228.3	51.95	protein_coding	CHR_HSCHR11_1_CTG7	2999989	3056296	56307
AC002044.1	51.96	TEC	16	73015047	73016016	969
AC002044.3	41.59	TEC	16	73005601	73006141	540
AC002044.4	28.48	sense_intronic	16	73014319	73014476	157
AC002056.3	47.24	processed_pseudogene	22	50754675	50755434	759
AC002056.5	52.94	antisense	22	50740593	50743520	2927
AC002059.10	46.96	sense_intronic	22	29316744	29317220	476
AC002064.4	35.29	antisense	7	90266034	90270216	4182
AC002064.5	39.42	lincRNA	7	90312496	90322592	10096
AC002064.7	43.35	TEC	7	90345873	90346218	345
AC002066.1	37.74	antisense	7	116238260	116499465	261205
AC002066.2	38.89	miRNA	7	116345855	116345944	89
AC002069.5	43.32	processed_pseudogene	7	88564793	88566281	1488
AC002069.6	43.40	processed_pseudogene	7	88512029	88513187	1158
AC002070.1	31.73	miRNA	12	119580792	119580895	103
AC002072.1	33.33	miRNA	X	112978229	112978318	89
AC002075.3	46.30	processed_pseudogene	7	93777839	93778514	675
AC002075.4	47.62	processed_pseudogene	7	93669826	93670077	251
AC002076.10	40.42	antisense	7	93890913	93893601	2688
AC002115.5	48.23	lincRNA	19	35597907	35601501	3594
AC002115.9	49.84	lincRNA	19	35608285	35612666	4381
AC002116.7	51.74	antisense	19	36014508	36045972	31464
AC002116.8	56.48	processed_transcript	19	36008638	36014235	5597
AC002117.1	46.18	antisense	17	45150400	45161510	11110
AC002127.2	46.67	processed_pseudogene	7	88749470	88749694	224
AC002127.4	35.12	lincRNA	7	88710631	88756725	46094
AC002128.5	51.82	antisense	19	35251440	35253639	2199
AC002306.1	44.22	antisense	19	19606350	19608660	2310
AC002310.10	48.54	unprocessed_pseudogene	16	30537202	30538231	1029
AC002310.12	49.90	antisense	16	30534752	30537144	2392
AC002310.13	51.84	protein_coding	16	30534227	30558279	24052
AC002310.14	61.44	TEC	16	30526918	30528294	1376
AC002310.17	50.19	processed_pseudogene	16	30587662	30587920	258
AC002310.7	49.03	antisense	16	30572250	30583860	11610
AC002314.4	54.72	processed_pseudogene	19	35683778	35684201	423
AC002331.1	37.79	lincRNA	16	26584755	26594813	10058
AC002365.5	44.82	protein_coding	X	9967358	9968352	994
AC002366.1	47.31	miRNA	X	11465953	11466138	185
AC002366.3	45.54	processed_pseudogene	X	11334233	11335901	1668
AC002368.4	51.90	antisense	X	148498113	148500615	2502
AC002383.2	35.33	lincRNA	7	89443974	89494262	50288
AC002386.1	33.66	lincRNA	7	109322320	109326315	3995
AC002389.1	63.08	miRNA	19	35553831	35553895	64
AC002395.1	57.43	miRNA	12	111487478	111487578	100
AC002398.11	51.77	antisense	19	35747057	35753415	6358
AC002398.12	57.41	antisense	19	35754566	35755490	924
AC002398.13	48.70	antisense	19	35769144	35771028	1884
AC002398.9	52.97	protein_coding	19	35745678	35754519	8841
AC002400.1	41.46	processed_pseudogene	16	23500905	23501630	725
AC002401.1	57.12	antisense	17	50135586	50146176	10590
AC002429.1	53.03	miRNA	7	95156606	95156671	65
AC002429.4	40.54	processed_pseudogene	7	95018407	95018554	147
AC002429.5	35.31	antisense	7	95154713	95214332	59619
AC002451.3	41.60	antisense	7	95596682	95613719	17037
AC002454.1	37.79	antisense	7	92836483	92917187	80704
AC002456.2	44.31	antisense	7	90590619	90597353	6734
AC002463.3	38.27	lincRNA	7	112622378	112708080	85702
AC002465.2	39.54	antisense	7	117300861	117322236	21375
AC002467.7	56.77	antisense	7	107742817	107744581	1764
AC002472.11	49.21	antisense	22	21031357	21043969	12612
AC002480.2	43.51	lincRNA	7	22649960	22665533	15573
AC002480.3	44.71	antisense	7	22563337	22573996	10659
AC002480.4	43.33	antisense	7	22589705	22591622	1917
AC002480.5	40.34	sense_overlapping	7	22571607	22661792	90185
AC002486.2	41.79	processed_pseudogene	7	20588990	20590085	1095
AC002486.3	43.48	processed_pseudogene	7	20641558	20641948	390
AC002511.2	53.64	lincRNA	19	35424062	35424652	590
AC002511.3	53.62	lincRNA	19	35432957	35434642	1685
AC002519.6	37.84	transcribed_processed_pseudogene	16	31802947	31807973	5026
AC002519.8	38.25	sense_intronic	16	31788202	31790993	2791
AC002523.1	53.44	unprocessed_pseudogene	X	149056716	149057166	450
AC002539.1	38.22	antisense	17	70017324	70128859	111535
AC002539.2	29.89	miRNA	17	69948861	69948947	86
AC002542.2	37.31	processed_pseudogene	7	117187548	117187740	192
AC002543.2	42.39	processed_pseudogene	7	116873454	116876376	2922
AC002550.5	53.61	antisense	16	19706351	19715383	9032
AC002550.6	34.77	antisense	16	19694035	19694428	393
AC002551.1	49.62	sense_intronic	16	27643199	27644663	1464
AC002553.4	41.18	processed_pseudogene	17	16084042	16084381	339
AC002558.1	33.33	miRNA	17	47118502	47118591	89
AC002978.1	24.59	miRNA	12	111073968	111074089	121
AC002979.1	54.00	miRNA	12	111302800	111302899	99
AC002981.1	44.05	miRNA	X	12148318	12148401	83
AC002984.2	47.54	processed_pseudogene	19	36173406	36173853	447
AC002985.3	56.62	protein_coding	19	18907013	18934397	27384
AC003001.1	87.01	miRNA	X	85244095	85244171	76
AC003002.4	45.30	protein_coding	19	57363566	57398584	35018
AC003002.6	46.30	protein_coding	19	57389884	57419994	30110
AC003003.5	45.08	sense_intronic	16	19285783	19310947	25164
AC003005.2	42.65	lincRNA	19	57477649	57482996	5347
AC003005.4	46.04	protein_coding	19	57487718	57505381	17663
AC003006.1	55.81	miRNA	19	57738465	57738550	85
AC003006.7	44.91	protein_coding	19	57682045	57753575	71530
AC003009.1	39.14	antisense	16	13331368	13332583	1215
AC003013.1	61.76	miRNA	X	109870352	109870419	67
AC003045.1	38.17	processed_pseudogene	7	117439982	117440780	798
AC003075.4	35.47	antisense	7	17279834	17299357	19523
AC003080.4	48.76	processed_pseudogene	7	111971222	111971988	766
AC003084.2	41.15	lincRNA	7	117998858	118004045	5187
AC003088.1	37.68	lincRNA	7	110432239	110534754	102515
AC003090.1	41.04	lincRNA	7	25593351	25750994	157643
AC003092.1	37.55	lincRNA	7	94022833	94066661	43828
AC003092.2	42.04	lincRNA	7	94071759	94077157	5398
AC003101.1	54.29	lincRNA	17	31571142	31575659	4517
AC003104.1	36.73	sense_intronic	17	42270517	42272683	2166
AC003658.1	30.07	miRNA	X	14764975	14765117	142
AC003664.1	39.47	lincRNA	17	13299184	13306760	7576
AC003666.1	40.20	miRNA	X	10216598	10216699	101
AC003681.1	27.66	miRNA	22	29944206	29944299	93
AC003682.16	41.22	lincRNA	19	57625032	57626950	1918
AC003682.17	61.97	processed_pseudogene	19	57664280	57665039	759
AC003956.1	59.21	antisense	19	15124160	15126174	2014
AC003958.1	49.75	unprocessed_pseudogene	CHR_HSCHR17_1_CTG4	41413837	41419100	5263
AC003958.2	47.68	antisense	17	41402416	41425049	22633
AC003958.6	59.71	unprocessed_pseudogene	CHR_HSCHR17_1_CTG4	41334632	41335733	1101
AC003968.1	68.06	miRNA	7	126040229	126040300	71
AC003973.1	53.64	processed_pseudogene	19	21940820	21941533	713
AC003973.3	32.99	TEC	19	21965708	21968529	2821
AC003973.4	43.41	lincRNA	19	22017959	22036315	18356
AC003973.5	46.03	lincRNA	19	22043500	22050005	6505
AC003976.2	48.39	protein_coding	17	36165624	36264527	98903
AC003984.1	33.60	lincRNA	7	84532476	84584322	51846
AC003985.1	41.42	lincRNA	7	25321302	25326815	5513
AC003986.5	54.67	antisense	7	19144293	19146253	1960
AC003986.6	39.99	antisense	7	19112474	19114271	1797
AC003986.7	37.70	antisense	7	19119933	19121916	1983
AC003988.1	36.68	lincRNA	7	80246409	80312456	66047
AC003989.3	45.56	processed_pseudogene	7	111394875	111395043	168
AC003989.4	48.67	processed_pseudogene	7	111411319	111411883	564
AC003991.3	38.26	antisense	7	88219359	88292466	73107
AC004000.1	69.23	miRNA	X	119424065	119424116	51
AC004000.2	29.36	miRNA	X	119524455	119524563	108
AC004004.2	44.00	processed_pseudogene	19	22501699	22501948	249
AC004006.2	51.72	processed_pseudogene	7	82657035	82657411	376
AC004009.1	45.27	TEC	7	27380562	27381206	644
AC004009.2	40.11	TEC	7	27412164	27412891	727
AC004009.3	41.82	lincRNA	7	27361843	27409938	48095
AC004012.1	43.58	lincRNA	7	95471835	95473998	2163
AC004014.3	37.47	lincRNA	7	108909453	108952666	43213
AC004014.4	45.85	processed_pseudogene	7	108994031	108995029	998
AC004016.1	42.55	miRNA	7	24900812	24900905	93
AC004019.10	56.54	processed_pseudogene	22	17418697	17419828	1131
AC004019.13	52.60	antisense	22	17580157	17589192	9035
AC004022.7	40.93	processed_pseudogene	7	95348718	95348910	192
AC004022.8	44.28	processed_pseudogene	7	95350164	95351229	1065
AC004041.2	44.99	antisense	5	132630589	132664272	33683
AC004051.2	40.57	lincRNA	4	109303035	109316135	13100
AC004052.1	36.47	miRNA	4	104278107	104278191	84
AC004053.1	36.66	antisense	4	104490965	104697592	206627
AC004053.2	30.85	miRNA	4	104796128	104796221	93
AC004054.1	32.21	antisense	4	91108023	91112790	4767
AC004057.1	35.46	transcribed_processed_pseudogene	4	113214046	113217170	3124
AC004062.2	42.17	processed_pseudogene	4	111063583	111064227	644
AC004063.1	38.32	lincRNA	4	104556960	104568877	11917
AC004066.2	61.47	processed_pseudogene	4	105526596	105527397	801
AC004066.3	36.39	antisense	4	105540190	105552355	12165
AC004067.5	40.14	antisense	4	109692004	109692703	699
AC004069.1	41.65	processed_pseudogene	4	105102891	105104004	1113
AC004069.2	34.91	lincRNA	4	105137280	105140619	3339
AC004070.1	43.77	lincRNA	X	140216035	140216804	769
AC004074.4	40.64	processed_pseudogene	X	73237647	73238709	1062
AC004076.5	41.89	antisense	19	57449689	57453011	3322
AC004076.7	45.00	protein_coding	19	57394183	57438457	44274
AC004076.9	42.30	protein_coding	19	57437970	57477536	39566
AC004079.1	36.43	miRNA	7	27022537	27022676	139
AC004112.4	40.58	antisense	7	112328189	112409623	81434
AC004112.5	38.22	unprocessed_pseudogene	7	112373733	112374250	517
AC004112.7	40.96	unprocessed_pseudogene	7	112374324	112375429	1105
AC004125.3	40.25	lincRNA	16	24236104	24252863	16759
AC004129.7	46.97	processed_pseudogene	7	25185623	25188724	3101
AC004129.9	51.88	processed_pseudogene	7	25212170	25212965	795
AC004156.3	57.94	lincRNA	19	663482	668063	4581
AC004158.1	50.40	protein_coding	16	72496967	72497341	374
AC004158.2	37.41	lincRNA	16	72283301	72665009	381708
AC004158.3	35.93	lincRNA	16	72425948	72533892	107944
AC004159.1	49.19	processed_pseudogene	7	80096600	80097215	615
AC004160.4	36.99	antisense	7	11406955	11414078	7123
AC004166.6	51.85	unprocessed_pseudogene	7	74906673	74913256	6583
AC004221.2	59.60	lincRNA	19	1238179	1239522	1343
AC004231.2	41.12	antisense	CHR_HSCHR17_4_CTG4	40921430	40976053	54623
AC004231.7	49.81	protein_coding	CHR_HSCHR17_1_CTG4	41384972	41389707	4735
AC004237.1	36.00	antisense	5	132688681	132721583	32902
AC004257.1	50.74	lincRNA	19	15221015	15222297	1282
AC004381.6	39.89	protein_coding	16	20806429	20849668	43239
AC004381.7	40.67	antisense	16	20743663	20766620	22957
AC004383.3	41.87	processed_pseudogene	X	134522702	134522990	288
AC004386.3	36.49	processed_pseudogene	X	74342713	74342860	147
AC004386.4	42.31	processed_pseudogene	X	74376125	74376885	760
AC004447.2	51.69	antisense	19	18990893	18993610	2717
AC004448.2	43.75	lincRNA	17	19419035	19424357	5322
AC004448.5	46.24	lincRNA	17	19439143	19460995	21852
AC004449.6	52.42	lincRNA	19	637105	637537	432
AC004453.8	50.49	processed_pseudogene	7	44467897	44468304	407
AC004458.1	42.39	miRNA	7	96468331	96468422	91
AC004460.1	74.70	miRNA	15	30801306	30801388	82
AC004461.4	57.58	processed_pseudogene	22	19055801	19056512	711
AC004470.1	58.82	miRNA	X	22761306	22761390	84
AC004471.10	58.30	lincRNA	22	19124309	19128449	4140
AC004471.9	59.83	antisense	22	19121529	19124503	2974
AC004477.1	78.79	miRNA	17	48048365	48048430	65
AC004485.3	40.20	antisense	7	24196662	24255719	59057
AC004490.1	59.09	antisense	19	2212029	2215565	3536
AC004492.1	44.78	miRNA	7	107294885	107294951	66
AC004510.3	47.33	lincRNA	19	15827045	15835853	8808
AC004520.1	30.00	miRNA	7	26060339	26060438	99
AC004535.2	35.70	lincRNA	7	10702676	10707406	4730
AC004538.3	37.05	processed_transcript	7	11181732	11520175	338443
AC004540.4	36.49	antisense	7	26372144	26376701	4557
AC004540.5	42.34	lincRNA	7	26398593	26494256	95663
AC004541.1	57.14	miRNA	7	81294538	81294621	83
AC004543.1	28.12	miRNA	7	19719388	19719451	63
AC004543.2	34.34	lincRNA	7	19813685	19818090	4405
AC004549.6	40.41	antisense	7	27733395	27740395	7000
AC004552.1	57.14	miRNA	X	24348809	24348906	97
AC004593.3	41.36	antisense	7	29199540	29208970	9430
AC004595.1	59.00	miRNA	7	21422269	21422368	99
AC004603.4	47.85	lincRNA	19	42821863	42826878	5015
AC004623.2	58.56	antisense	19	1376773	1377520	747
AC004623.3	55.43	TEC	19	1372238	1374364	2126
AC004637.1	64.29	antisense	19	3672582	3674295	1713
AC004655.1	54.29	miRNA	X	24698122	24698191	69
AC004673.1	28.38	miRNA	X	23120832	23120905	73
AC004674.1	55.45	miRNA	X	13297661	13297761	100
AC004691.5	47.47	antisense	7	30796691	30803410	6719
AC004692.4	47.57	antisense	7	43239066	43249268	10202
AC004692.5	54.72	processed_pseudogene	7	43274159	43274582	423
AC004699.1	27.59	miRNA	19	15052930	15053074	144
AC004702.2	43.20	lincRNA	17	20185082	20322973	137891
AC004744.3	34.78	antisense	7	18892096	18899433	7337
AC004745.1	38.55	miRNA	7	97291514	97291596	82
AC004754.3	55.28	protein_coding	16	249547	269943	20396
AC004769.1	57.97	miRNA	5	130277625	130277693	68
AC004775.5	37.85	lincRNA	5	132817248	132818000	752
AC004791.2	47.42	lincRNA	19	15851993	15864904	12911
AC004812.1	53.41	miRNA	12	120172039	120172126	87
AC004813.1	49.87	protein_coding	12	119918001	119918375	374
AC004819.1	61.63	miRNA	22	29883860	29883945	85
AC004824.1	60.94	miRNA	1	17413631	17413694	63
